Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
return null,Chrome 96.0.4664.93,,,2021-12-14 17:55:44,2021-12-14 17:55:44,0.000s,PASSED
,,,,,,,
Test Cases/Checkout,Chrome 96.0.4664.93,,,2021-12-14 17:55:44,2021-12-14 17:56:44,1m - 0.061s,PASSED
"openBrowser("""")",Chrome 96.0.4664.93,,,2021-12-14 17:55:44,2021-12-14 17:55:46,1.895s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 96.0.4664.93,,,2021-12-14 17:55:46,2021-12-14 17:55:54,7.406s,PASSED
maximizeWindow(),Chrome 96.0.4664.93,,,2021-12-14 17:55:54,2021-12-14 17:55:54,0.164s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:54,2021-12-14 17:55:57,3.410s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email""), username)",Chrome 96.0.4664.93,,,2021-12-14 17:55:57,2021-12-14 17:55:58,1.006s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Password_passwd""), password)",Chrome 96.0.4664.93,,,2021-12-14 17:55:58,2021-12-14 17:55:59,0.859s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:59,2021-12-14 17:56:02,2.754s,PASSED
"click(findTestObject(""Object Repository/Page_My account - My Store/a_Women""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:02,2021-12-14 17:56:06,3.628s,PASSED
"click(findTestObject(""Object Repository/Page_Women - My Store/a_Dresses""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:06,2021-12-14 17:56:08,2.626s,PASSED
"click(findTestObject(""Object Repository/Page_Dresses - My Store/a_T-shirts""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:08,2021-12-14 17:56:10,2.236s,PASSED
"setText(findTestObject(""Object Repository/Page_Dresses - My Store/input_Call us now_search_query""), ""dress"")",Chrome 96.0.4664.93,,,2021-12-14 17:56:10,2021-12-14 17:56:11,0.927s,PASSED
"click(findTestObject(""Object Repository/Page_Dresses - My Store/button_Search""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:11,2021-12-14 17:56:14,2.589s,PASSED
"click(findTestObject(""Object Repository/Page_Search - My Store/img_Showing 1 - 7 of 7 items_replace-2x img_043d87""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:14,2021-12-14 17:56:17,2.958s,PASSED
"click(findTestObject(""Object Repository/Page_Printed Summer Dress - My Store/span_Add to cart""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:17,2021-12-14 17:56:17,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Printed Summer Dress - My Store/span_Proceed to checkout""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:17,2021-12-14 17:56:22,4.211s,PASSED
"click(findTestObject(""Object Repository/ProceedButton""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:22,2021-12-14 17:56:24,1.949s,PASSED
"setText(findTestObject(""Object Repository/Page_Order - My Store/textarea_If you would like to add a comment_a4f199""), ""testing"")",Chrome 96.0.4664.93,,,2021-12-14 17:56:24,2021-12-14 17:56:24,0.929s,PASSED
"click(findTestObject(""ProcessAddress""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:24,2021-12-14 17:56:27,2.800s,PASSED
"click(findTestObject(""Object Repository/Page_Order - My Store/input_2.00_cgv""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:27,2021-12-14 17:56:28,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_Order - My Store/span_Proceed to checkout_1""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:28,2021-12-14 17:56:30,2.545s,PASSED
"click(findTestObject(""Object Repository/Page_Order - My Store/a_Pay by bank wire (order processing will b_e7efad""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:30,2021-12-14 17:56:32,1.774s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/span_I confirm my order""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:32,2021-12-14 17:56:36,3.572s,PASSED
"click(findTestObject(""Object Repository/Page_Order confirmation - My Store/a_Back to orders""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:36,2021-12-14 17:56:38,2.499s,PASSED
"click(findTestObject(""Object Repository/Page_Order history - My Store/a_Sign out""))",Chrome 96.0.4664.93,,,2021-12-14 17:56:38,2021-12-14 17:56:42,4.118s,PASSED
closeBrowser(),Chrome 96.0.4664.93,,,2021-12-14 17:56:42,2021-12-14 17:56:44,1.353s,PASSED
