Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
runner02,Chrome 96.0.4664.93,,,2021-12-14 17:54:22,2021-12-14 17:56:44,2m - 21.333s,PASSED
,,,,,,,
Test Cases/Create account,Chrome 96.0.4664.93,,,2021-12-14 17:54:23,2021-12-14 17:55:43,1m - 19.739s,PASSED
"openBrowser("""")",Chrome 96.0.4664.93,,,2021-12-14 17:54:24,2021-12-14 17:54:28,3.637s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 96.0.4664.93,,,2021-12-14 17:54:28,2021-12-14 17:55:04,36.611s,PASSED
maximizeWindow(),Chrome 96.0.4664.93,,,2021-12-14 17:55:04,2021-12-14 17:55:04,0.207s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:04,2021-12-14 17:55:08,3.589s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email_create""), email)",Chrome 96.0.4664.93,,,2021-12-14 17:55:08,2021-12-14 17:55:09,1.039s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:09,2021-12-14 17:55:10,0.565s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr_id_gender""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:10,2021-12-14 17:55:13,3.035s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), firstname)",Chrome 96.0.4664.93,,,2021-12-14 17:55:13,2021-12-14 17:55:14,1.145s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), lastname)",Chrome 96.0.4664.93,,,2021-12-14 17:55:14,2021-12-14 17:55:15,0.947s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Chrome 96.0.4664.93,,,2021-12-14 17:55:15,2021-12-14 17:55:16,0.993s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), ""1"", true)",Chrome 96.0.4664.93,,,2021-12-14 17:55:16,2021-12-14 17:55:18,1.990s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), ""3"", true)",Chrome 96.0.4664.93,,,2021-12-14 17:55:18,2021-12-14 17:55:19,1.584s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20212020201920182017201620152014201_28b437""), ""2002"", true)",Chrome 96.0.4664.93,,,2021-12-14 17:55:19,2021-12-14 17:55:24,4.141s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Company_company""), company)",Chrome 96.0.4664.93,,,2021-12-14 17:55:24,2021-12-14 17:55:24,0.971s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), address1)",Chrome 96.0.4664.93,,,2021-12-14 17:55:24,2021-12-14 17:55:25,1.001s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Address (Line 2)_address2""), address2)",Chrome 96.0.4664.93,,,2021-12-14 17:55:25,2021-12-14 17:55:26,0.986s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Chrome 96.0.4664.93,,,2021-12-14 17:55:26,2021-12-14 17:55:27,0.936s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), ""9"", true)",Chrome 96.0.4664.93,,,2021-12-14 17:55:27,2021-12-14 17:55:30,2.472s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), poscode)",Chrome 96.0.4664.93,,,2021-12-14 17:55:30,2021-12-14 17:55:31,0.972s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/textarea_Additional information_other""), addinfo)",Chrome 96.0.4664.93,,,2021-12-14 17:55:31,2021-12-14 17:55:32,0.911s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Home phone_phone""), homephone)",Chrome 96.0.4664.93,,,2021-12-14 17:55:32,2021-12-14 17:55:33,0.997s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), mobilephone)",Chrome 96.0.4664.93,,,2021-12-14 17:55:33,2021-12-14 17:55:34,0.953s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:34,2021-12-14 17:55:38,3.928s,PASSED
"click(findTestObject(""Page_My Store/a_Sign out""))",Chrome 96.0.4664.93,,,2021-12-14 17:55:38,2021-12-14 17:55:42,3.979s,PASSED
closeBrowser(),Chrome 96.0.4664.93,,,2021-12-14 17:55:42,2021-12-14 17:55:43,1.283s,PASSED
,,,,,,,
Test Cases/Login,Chrome 96.0.4664.93,,,2021-12-14 17:55:43,2021-12-14 17:55:44,0.594s,PASSED
