Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
runner02,Chrome 96.0.4664.93,,,2021-12-14 12:16:52,2021-12-14 12:18:27,1m - 34.899s,PASSED
,,,,,,,
Test Cases/Register/Create account,Chrome 96.0.4664.93,,,2021-12-14 12:16:53,2021-12-14 12:17:50,57.458s,PASSED
"openBrowser("""")",Chrome 96.0.4664.93,,,2021-12-14 12:16:53,2021-12-14 12:16:57,3.747s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 96.0.4664.93,,,2021-12-14 12:16:57,2021-12-14 12:17:17,19.507s,PASSED
maximizeWindow(),Chrome 96.0.4664.93,,,2021-12-14 12:17:17,2021-12-14 12:17:17,0.184s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 12:17:17,2021-12-14 12:17:20,3.318s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email_create""), email)",Chrome 96.0.4664.93,,,2021-12-14 12:17:20,2021-12-14 12:17:21,0.982s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 96.0.4664.93,,,2021-12-14 12:17:21,2021-12-14 12:17:22,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr_id_gender""))",Chrome 96.0.4664.93,,,2021-12-14 12:17:22,2021-12-14 12:17:24,2.434s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), firstname)",Chrome 96.0.4664.93,,,2021-12-14 12:17:24,2021-12-14 12:17:25,0.901s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), lastname)",Chrome 96.0.4664.93,,,2021-12-14 12:17:25,2021-12-14 12:17:26,0.815s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Chrome 96.0.4664.93,,,2021-12-14 12:17:26,2021-12-14 12:17:27,0.903s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), ""1"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:17:27,2021-12-14 12:17:28,1.719s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), ""3"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:17:28,2021-12-14 12:17:30,1.412s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20212020201920182017201620152014201_28b437""), ""2002"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:17:30,2021-12-14 12:17:33,3.337s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Company_company""), company)",Chrome 96.0.4664.93,,,2021-12-14 12:17:33,2021-12-14 12:17:34,0.776s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), address1)",Chrome 96.0.4664.93,,,2021-12-14 12:17:34,2021-12-14 12:17:35,0.785s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Address (Line 2)_address2""), address2)",Chrome 96.0.4664.93,,,2021-12-14 12:17:35,2021-12-14 12:17:36,0.854s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Chrome 96.0.4664.93,,,2021-12-14 12:17:36,2021-12-14 12:17:36,0.850s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), ""9"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:17:36,2021-12-14 12:17:39,2.188s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), poscode)",Chrome 96.0.4664.93,,,2021-12-14 12:17:39,2021-12-14 12:17:39,0.784s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/textarea_Additional information_other""), addinfo)",Chrome 96.0.4664.93,,,2021-12-14 12:17:39,2021-12-14 12:17:40,0.758s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Home phone_phone""), homephone)",Chrome 96.0.4664.93,,,2021-12-14 12:17:40,2021-12-14 12:17:41,0.812s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), mobilephone)",Chrome 96.0.4664.93,,,2021-12-14 12:17:41,2021-12-14 12:17:42,0.797s,PASSED
