Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Chrome 96.0.4664.93,,,2021-12-14 12:17:42,2021-12-14 12:17:46,3.934s,PASSED
"click(findTestObject(""Page_My Store/a_Sign out""))",Chrome 96.0.4664.93,,,2021-12-14 12:17:46,2021-12-14 12:17:49,3.145s,PASSED
closeBrowser(),Chrome 96.0.4664.93,,,2021-12-14 12:17:49,2021-12-14 12:17:50,1.164s,PASSED
,,,,,,,
Test Cases/Login/Login1,Chrome 96.0.4664.93,,,2021-12-14 12:17:50,2021-12-14 12:18:27,36.529s,PASSED
"expDashboardTitle = ""My account - My Store""",Chrome 96.0.4664.93,,,2021-12-14 12:17:51,2021-12-14 12:17:51,0.001s,PASSED
"openBrowser("""")",Chrome 96.0.4664.93,,,2021-12-14 12:17:51,2021-12-14 12:17:53,1.885s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 96.0.4664.93,,,2021-12-14 12:17:53,2021-12-14 12:18:11,18.653s,PASSED
maximizeWindow(),Chrome 96.0.4664.93,,,2021-12-14 12:18:11,2021-12-14 12:18:11,0.192s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 12:18:11,2021-12-14 12:18:17,5.759s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email""), username)",Chrome 96.0.4664.93,,,2021-12-14 12:18:17,2021-12-14 12:18:18,0.967s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Password_passwd""), password)",Chrome 96.0.4664.93,,,2021-12-14 12:18:18,2021-12-14 12:18:19,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 12:18:19,2021-12-14 12:18:22,2.793s,PASSED
waitForPageLoad(3),Chrome 96.0.4664.93,,,2021-12-14 12:18:22,2021-12-14 12:18:22,0.240s,PASSED
actDashTitle = getWindowTitle(),Chrome 96.0.4664.93,,,2021-12-14 12:18:22,2021-12-14 12:18:22,0.031s,PASSED
print(actDashTitle),Chrome 96.0.4664.93,,,2021-12-14 12:18:22,2021-12-14 12:18:22,0.005s,PASSED
"Assert.assertEquals(expDashboardTitle, actDashTitle)",Chrome 96.0.4664.93,,,2021-12-14 12:18:22,2021-12-14 12:18:22,0.017s,PASSED
"click(findTestObject(""Page_My Store/a_Sign out""))",Chrome 96.0.4664.93,,,2021-12-14 12:18:22,2021-12-14 12:18:25,3.375s,PASSED
closeBrowser(),Chrome 96.0.4664.93,,,2021-12-14 12:18:25,2021-12-14 12:18:27,1.123s,PASSED
